chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,supplier,caller,assets,shares,market_id,loan_token,collateral_token,loan_symbol,collateral_symbol,loan_decimals,normalized_assets,price_usd,amount_usd
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000224,2025-01-13 17:36:35,6c87b95cd6bfd1c43951c7f1cb19c48eadfd9f252cc985ef5a93907f9a30851a,1918f9ca332b4fb7d2b8389e77efaa1a003c71b28a44356dd38aa6192b84d445,172,952,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,470257512911,463216156938695722,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,470257.512911,0.99984180004272,470183.1181925469
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000239,2025-01-13 17:37:05,58cce6b0ed1fe74235c0395f5f7d0d708c1adf5e737691ff41f4697929fc93e1,25164e0f664799999f0f3bf20a5198ee03a3c7417e26a958da5b0756bee0b206,215,979,,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,645000000,634842730156918,0x45f3b5688e7ba25071f78d1ce51d1b893faa3c86897b12204cdff3af6b3611f8,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x1C2757c1FeF1038428b5bEF062495ce94BBe92b2,USDC,mBASIS,6,645.0,0.99984180004272,644.8979610275544
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000239,2025-01-13 17:37:05,58cce6b0ed1fe74235c0395f5f7d0d708c1adf5e737691ff41f4697929fc93e1,a9ca979c4fe44513699becce548a4cf08a7be73e5a097f18e99fe3d31c4f6639,220,1021,,0x0FaBfEAcedf47e890c50C8120177fff69C6a1d9B,0x0FaBfEAcedf47e890c50C8120177fff69C6a1d9B,697587858,672644780004134,0xa4e2843486610e6851f4e0a8fcdee819958598c71c7e99b0315904ccf162ddc3,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,USDC,weETH,6,697.587858,0.99984180004272,697.4774996306654
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000243,2025-01-13 17:37:13,fd072c40509ae5b04989c1f48f190b98b1d21a0738f3279ed8d407e1c98ad8b9,85f2b3c4ade7d54a7c08dfea08414de41a8bfecb8607c5d911cec1440432f3b6,200,447,,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,235000000000000000,235000000000000000000000,0xe920c120b2e1c79e9f97c5219ab092f96e06ed0b58882737fe863b029395f36f,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000000,WETH,,18,0.235,1802.8491664761689,423.66955412189964
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000300,2025-01-13 17:39:07,58d656331272feef510dd9c2bea2a9b34957c5eb43d99d49c357580ee9b4e3c4,9f3bd4a4911c8728e752489b6d3291e16961f06084631f9f20be597aafdf153f,213,816,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,484638271484,484638271484000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,484638.271484,1.1599080347053472,562135.825020003
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000300,2025-01-13 17:39:07,58d656331272feef510dd9c2bea2a9b34957c5eb43d99d49c357580ee9b4e3c4,9f3bd4a4911c8728e752489b6d3291e16961f06084631f9f20be597aafdf153f,213,826,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,446351931235,439668409953303255,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,446351.931235,0.99984180004272,446281.3183785468
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000304,2025-01-13 17:39:15,e65a405c56ade45fedfc6f55517d4cb0d6097c9c55c1e3c692fdcebdb0385379,9eb25a5bdcfe338996cd3bb2a36ae55fa8743f01403e02abddb18c5df61edf88,115,415,,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,502534,493760234277,0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,cbBTC,6,0.502534,0.99984180004272,0.5024544991426683
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000359,2025-01-13 17:41:05,ba78971d182e9ff518f85b0ad805d9a51a21bd36f08f9120c342a19879290150,03e76ff52640c882a3d4003ff0c550cd2f07e21c41bda570608ab1064d7b294e,68,230,,0x6b13c060F13Af1fdB319F52315BbbF3fb1D88844,0x6b13c060F13Af1fdB319F52315BbbF3fb1D88844,93027585253225591,92848969648676171087573,0x7f90d72667171d72d10d62b5828d6a5ef7254b1e33718fe0c1f7dcf56dd1edc7,0x4200000000000000000000000000000000000006,0xCb327b99fF831bF8223cCEd12B1338FF3aA322Ff,WETH,bsdETH,18,0.09302758525322559,1802.8491664761689,167.7147045330685
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000399,2025-01-13 17:42:25,9f3295f16eb17c23fb797089562ce3a417145de007f433ecbaf76b93cd9188a1,86a1a6e19a1f205ab9fdbecb364413a332d09618348ada5373afe78e7a947f51,139,400,,0x543257eF2161176D7C8cD90BA65C2d4CaEF5a796,0x543257eF2161176D7C8cD90BA65C2d4CaEF5a796,2697834,2697834000000,0xe04a6c17bd59c9fcbc2bcf0035be0e78974f2741b15dc079635e2f0137d38f2c,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000000,cbBTC,,8,0.02697834,66826.4870936436,1802.867689817929
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000488,2025-01-13 17:45:23,0b3ffb86ab720f68bd2a9548359a51e9948b2b7d8533e85433f4f9fbe96a9c55,917b0f243ecc9eadd0432357885539bb0abe475adf9ce7b23c282e2378446762,65,194,,0x543257eF2161176D7C8cD90BA65C2d4CaEF5a796,0x543257eF2161176D7C8cD90BA65C2d4CaEF5a796,14907818,14907818000000,0xe04a6c17bd59c9fcbc2bcf0035be0e78974f2741b15dc079635e2f0137d38f2c,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000000,cbBTC,,8,0.14907818,66826.4870936436,9962.371071713878
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000554,2025-01-13 17:47:35,3e1175656223ac58fb99606e933ab44b335f10ccec397fe0bc2cac34c2d36dc9,0f73d5c09c4cd06a769688321694e8916151bdc3da289623c1e96ef06078d2f6,100,322,,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,100000,98254018295,0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,cbBTC,6,0.1,0.99984180004272,0.099984180004272
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000683,2025-01-13 17:51:53,acbbd23e84a4e775f3f673d3d7af448f26aae902eb155baf8e83410e65217bd4,289fc3a9417945a29ae381b29807ee9b978e695bf3d48db5baccbb96421fdf59,47,271,,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,33239060984900391,33239060984900391000000,0xe920c120b2e1c79e9f97c5219ab092f96e06ed0b58882737fe863b029395f36f,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000000,WETH,,18,0.03323906098490039,1802.8491664761689,59.92501339107822
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000752,2025-01-13 17:54:11,fff6f1cd279a4753ded0f084368f2a9540a53afb1812549bd79b260c32a01a04,d93431927609a4dfe00e069f7f4dfb5b9a04af8e1d68ff54ce3691ed47ad45f8,62,168,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,300000,300000000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,0.3,1.1599080347053472,0.34797241041160415
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000761,2025-01-13 17:54:29,6ce5c338e39a60725e2ea4868d2b08803129c99a1772d324c7282c7ddc01cf01,48646542851a5662538e86da7aee94e4a9e17a3dc3dc8bbf57afe79b9b803df4,32,100,,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,1546428793,1522073705333977,0x45f3b5688e7ba25071f78d1ce51d1b893faa3c86897b12204cdff3af6b3611f8,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x1C2757c1FeF1038428b5bEF062495ce94BBe92b2,USDC,mBASIS,6,1546.428793,0.99984180004272,1546.1841480310109
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000768,2025-01-13 17:54:43,4366e5a813ee839fbe8d2820ceb047a7934b800788a9eae19f8ae8bd3ecd0f20,00cc72e980fbf8383e16128bf15ac70b585e2d4ef9feadf7f71085aa87d665bb,37,188,,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,7794000000000000000,7794000000000000000000000,0xe920c120b2e1c79e9f97c5219ab092f96e06ed0b58882737fe863b029395f36f,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000000,WETH,,18,7.794,1802.8491664761689,14051.406403515259
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000853,2025-01-13 17:57:33,62f1c4c11a8145c40aa203cf29f37be9506b4593172e4392cdc2713b86de0ddc,24040e794db95e7a02e4e513f872087c3596758425eb9d86c09fa86282dced92,37,154,,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,9999240014,9824645920977642,0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,cbBTC,6,9999.240014,0.99984180004272,9997.658134656955
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800007,2025-06-28 02:40:11,e58cbe58655c53a0731515fe9d2af90278d2ad8051972db324e992b06688c088,c4d56d4d2c6c1c3f774d35e6bad0875b81ccb6fc08a7e7a43107b2248eae4a82,35,717,,0xbEeFc011e94f43b8B7b455eBaB290C7Ab4E216f1,0xbEeFc011e94f43b8B7b455eBaB290C7Ab4E216f1,3653749845107237902,3624565783648599527012358,0x8d18658cd2688b702222c11467133c1c2237bd058ba2467e47bc360067ebe038,0x7751E2F4b8ae93EF6B79d86419d42FE3295A4559,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,wUSDL,cbBTC,6,3653749845107.238,1.0440041211774628e-12,3.8145298960434726
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800041,2025-06-28 02:46:59,4219fddba910c2f4939c5d6c8f91cf0ea6a14250a11dcda32c20e4d21fa11b05,3703012711a48b33cc4f18e395c407927884c7a9854f4d54749d907eb41c9faa,61,246,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,102734,102509307106,0x3a3b0aab54883f5b2561d8327fbe234142db4f50f87574cd07daf2ed3fbee01a,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5f2F6324AA5590e408BA892e39ceC4C0afB16068,USDC,PT-iUSD-4SEP2025,6,0.102734,0.9997649620685616,0.10270985361315162
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800041,2025-06-28 02:46:59,4219fddba910c2f4939c5d6c8f91cf0ea6a14250a11dcda32c20e4d21fa11b05,fb14d8ec91faf1599b8909a5e2f1bebdd55a774e8ec27b27e45193772238f9ca,134,404,,0x4881Ef0BF6d2365D3dd6499ccd7532bcdBCE0658,0x4881Ef0BF6d2365D3dd6499ccd7532bcdBCE0658,100000000000000000000,97533987664602562852336333,0xb8fc70e82bc5bb53e773626fcc6a23f7eefa036918d7ef216ecfb1950a94a85e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,WETH,wstETH,18,100.0,1790.8610979237435,179086.10979237434
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800044,2025-06-28 02:47:35,784f1849232453f11f6264d4f0f9cb1655cad62cf36c80a92d02232a79ed64df,378b9b717b6dcf08df431d593ef46249df10c07102a33672800c9665f9047c6c,23,155,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,94711,88747360811,0x718af3af39b183758849486340b69466e3e89b84b7884188323416621ee91cb7,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,USDC,UNI,6,0.094711,0.9997649620685616,0.09468873932247554
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800044,2025-06-28 02:47:35,784f1849232453f11f6264d4f0f9cb1655cad62cf36c80a92d02232a79ed64df,378b9b717b6dcf08df431d593ef46249df10c07102a33672800c9665f9047c6c,23,160,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,20843633775,20798044230418204,0x3a3b0aab54883f5b2561d8327fbe234142db4f50f87574cd07daf2ed3fbee01a,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5f2F6324AA5590e408BA892e39ceC4C0afB16068,USDC,PT-iUSD-4SEP2025,6,20843.633775,0.9997649620685616,20838.734730433862
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800044,2025-06-28 02:47:35,784f1849232453f11f6264d4f0f9cb1655cad62cf36c80a92d02232a79ed64df,378b9b717b6dcf08df431d593ef46249df10c07102a33672800c9665f9047c6c,23,165,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,23363423416,22396884342256003,0x5f5bfaa51137098abc90b249c93b6051987877ada76135bb3dd7502b10d184a3,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x7C1156E515aA1A2E851674120074968C905aAF37,USDC,lvlUSD,6,23363.423416,0.9997649620685616,23357.932125288986
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800044,2025-06-28 02:47:35,784f1849232453f11f6264d4f0f9cb1655cad62cf36c80a92d02232a79ed64df,378b9b717b6dcf08df431d593ef46249df10c07102a33672800c9665f9047c6c,23,170,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,27429764589,27081428239746500,0xbc552f0b14dd6f8e60b760a534ac1d8613d3539153b4d9675d697e048f2edc7e,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,USDC,PT-sUSDE-31JUL2025,6,27429.764589,0.9997649620685616,27423.31755387116
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800044,2025-06-28 02:47:35,784f1849232453f11f6264d4f0f9cb1655cad62cf36c80a92d02232a79ed64df,378b9b717b6dcf08df431d593ef46249df10c07102a33672800c9665f9047c6c,23,175,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,68016231291,67801459205785311,0x8a71a66ac828c2b6d4f8accce5859aba0822b502f3833bec4aff09479affffdb,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xB10DA2F9147f9cf2B8826877Cd0c95c18A0f42dc,USDC,PT-cUSDO-20NOV2025,6,68016.231291,0.9997649620685616,68000.24489669313
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800044,2025-06-28 02:47:35,784f1849232453f11f6264d4f0f9cb1655cad62cf36c80a92d02232a79ed64df,378b9b717b6dcf08df431d593ef46249df10c07102a33672800c9665f9047c6c,23,180,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,129883471752,128449004574205913,0x544b0a093b130a3fb01b72a1279ab848575f049c73da3b5c9c718f9350a1519c,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xf10A134A987E22ffa9463570A6D1eb92a63Fc178,USDC,PT-csUSDL-31JUL2025,6,129883.471752,0.9997649620685616,129852.94420947137
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800044,2025-06-28 02:47:35,784f1849232453f11f6264d4f0f9cb1655cad62cf36c80a92d02232a79ed64df,378b9b717b6dcf08df431d593ef46249df10c07102a33672800c9665f9047c6c,23,185,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,174826458242,170822489200360626,0x0f9563442d64ab3bd3bcb27058db0b0d4046a4c46f0acd811dacae9551d2b129,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,USDC,sdeUSD,6,174826.458242,0.9997649620685616,174785.36739289408
ethereum,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800044,2025-06-28 02:47:35,784f1849232453f11f6264d4f0f9cb1655cad62cf36c80a92d02232a79ed64df,378b9b717b6dcf08df431d593ef46249df10c07102a33672800c9665f9047c6c,23,190,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,195450377740,192693947018569672,0x8b1bc4d682b04a16309a8adf77b35de0c42063a7944016cfc37a79ccac0007b6,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x4737D9b4592B40d51e110b94c9C043c6654067Ae,USDC,slvlUSD,6,195450.37774,0.9997649620685616,195404.43948751714
