chain,token_address,symbol,name,decimals
ethereum,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,PT-sUSDE-31JUL2025,PT Ethena sUSDE 31JUL2025,18
ethereum,0x3bd0C522eA444eA2B3F28777e8C20248b6E33252,PT-wsrUSD-31JUL2025,PT Wrapped Savings rUSD 31JUL2025,18
ethereum,0x4737D9b4592B40d51e110b94c9C043c6654067Ae,slvlUSD,Staked lvlUSD,18
ethereum,0x4956b52aE2fF65D74CA2d61207523288e4528f96,RLP,Resolv Liquidity Provider Token,18
ethereum,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,USDe,USDe,18
ethereum,0x5C5b196aBE0d54485975D1Ec29617D42D9198326,sdeUSD,Staked deUSD,18
ethereum,0x5a5b93F762739fa94F3EcC0b34Af2e56702E7f70,PT-USR-4SEP2025,PT Resolv USD 4SEP2025,18
ethereum,0x5f2F6324AA5590e408BA892e39ceC4C0afB16068,PT-iUSD-4SEP2025,PT infiniFi USD 4SEP2025,18
ethereum,0x64351fC9810aDAd17A690E4e1717Df5e7e085160,msETH,Metronome Synth ETH,18
ethereum,0x657d9ABA1DBb59e53f9F3eCAA878447dCfC96dCb,ynETHx,ynETH MAX,18
ethereum,0x66a1E37c9b0eAddca17d3662D6c05F4DECf3e110,USR,Resolv USD,18
ethereum,0x699e04F98dE2Fc395a7dcBf36B48EC837A976490,tacUSD,Turtle TAC USD Vault,6
ethereum,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,Dai Stablecoin,18
ethereum,0x7122985656e38BDC0302Db86685bb972b145bD3C,STONE,StakeStone Ether,18
ethereum,0x734eec7930bc84eC5732022B9EB949A81fB89AbE,ETH0,Usual ETH,18
ethereum,0x738d1115B90efa71AE468F1287fc864775e23a31,srUSD,Savings rUSD,18
ethereum,0x73A15FeD60Bf67631dC6cd7Bc5B6e8da8190aCF5,USD0,Usual USD,18
ethereum,0x742B4166878Bfd339Db65a29a17E49b81a6B6Aac,PT-RLP-4SEP2025,PT Resolv Liquidity Provider Token 4SEP2025,6
ethereum,0x76e222b07C53D28b89b0bAc18602810Fc22B49A8,JOE,Joe Coin,18
ethereum,0x7751E2F4b8ae93EF6B79d86419d42FE3295A4559,wUSDL,Wrapped USDL,6
ethereum,0x7C1156E515aA1A2E851674120074968C905aAF37,lvlUSD,Level USD,18
ethereum,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,Wrapped liquid staked Ether 2.0,18
ethereum,0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,syrupUSDC,Syrup USDC,6
ethereum,0x8236a87084f8B84306f72007F36F2618A5634494,LBTC,Lombard Staked Bitcoin,8
ethereum,0x833AdaeF212c5cD3f78906B44bBfb18258F238F0,bbqWSTETH,Smokehouse WSTETH,18
ethereum,0x8A47b431A7D947c6a3ED6E42d501803615a97EAa,PT-USDe-27MAR2025,PT Ethena USDe 27MAR2025,18
ethereum,0x90455bd11Ce8a67C57d467e634Dc142b8e4105Aa,cUSDOUSDC,cUSDO/USDC,18
ethereum,0x90D2af7d622ca3141efA4d8f1F24d86E5974Cc8F,eUSDe,Ethereal Pre-deposit Vault,18
ethereum,0x917459337CaAC939D41d7493B3999f571D20D667,PT-USDe-31JUL2025,PT Ethena USDe 31JUL2025,18
ethereum,0x97Ad75064b20fb2B2447feD4fa953bF7F007a706,beraSTONE,Berachain STONE,18
ethereum,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,sUSDe,Staked USDe,18
ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,USD Coin,6
ethereum,0xA0d69E286B938e21CBf7E51D71F6A4c8918f482F,eUSD,Electronic Dollar,18
ethereum,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,rsETH,rsETH,18
ethereum,0xB10DA2F9147f9cf2B8826877Cd0c95c18A0f42dc,PT-cUSDO-20NOV2025,PT Compounding Open Dollar 20NOV2025,18
ethereum,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,Wrapped Ether,18
ethereum,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,USUAL,USUAL,18
ethereum,0xCcE7D12f683c6dAe700154f0BAdf779C0bA1F89A,PT-syrupUSDC-28AUG2025,PT Syrup USDC 28AUG2025,6
ethereum,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,weETH,Wrapped eETH,18
ethereum,0xE72B141DF173b999AE7c1aDcbF60Cc9833Ce56a8,ETH+,ETHPlus,18
ethereum,0xFa2B947eEc368f42195f24F36d2aF29f7c24CeC2,USDf,Falcon USD,18
ethereum,0xFfEc096c087C13Cc268497B89A613cACE4DF9A48,PT-USDS-14AUG2025,PT USDS Stablecoin 14AUG2025,18
ethereum,0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,Mog,Mog Coin,18
ethereum,0xbEeFc011e94f43b8B7b455eBaB290C7Ab4E216f1,csUSDL,Coinshift USDL,18
ethereum,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,ezETH,Renzo Restaked ETH,18
ethereum,0xc8CF6D7991f15525488b2A83Df53468D682Ba4B0,sUSDf,Staked Falcon USD,18
ethereum,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,cbBTC,Coinbase Wrapped BTC,8
ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,Tether USD,6
ethereum,0xdC035D45d973E3EC169d2276DDab16f1e407384F,USDS,USDS Stablecoin,18
ethereum,0xe1B4d34E8754600962Cd944B535180Bd758E6c2e,agETH,Kelp Gain,18
ethereum,0xf10A134A987E22ffa9463570A6D1eb92a63Fc178,PT-csUSDL-31JUL2025,PT Coinshift USDL 31JUL2025,18
ethereum,0xf736acF34FF7Cd9B3565b73a1f15E652859bF322,PT-RUSD-31JUL2025,PT Reservoir Protocol RUSD 31JUL2025,18
