chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,borrower,caller,assets,amounts,market_id,loan_token,collateral_token,loan_symbol,collateral_symbol,loan_decimals,normalized_assets,price_usd,amount_usd
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800244,2025-06-28 03:27:47,ac5d34478065b05220bb65ce92f3dd5a0838872c726c2b1b451b77fc6f15b30e,c3306afa9b57b3439fcd6cbf46d2a82f193862579e6560b20eafc11c7b8bac27,159,530,,0x47163AD3c13a280c1Da8F5A90BbEA9eEAc75E252,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,8730145768907055278863,,0x140fe48783fe88d2a52b31705577d917628caaf74ff79865b39d4c2aa6c2fd3c,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0x90D2af7d622ca3141efA4d8f1F24d86E5974Cc8F,USDe,eUSDe,18,8730.145768907056,0.9994122168584848,8725.014336401122
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800262,2025-06-28 03:31:23,d102407a5d6a2299c8368b8cee0f345e7bec8b79f84f55ba4c2e27f8cbfa4ee9,520ca4925d48bf10caab335647c53e628c7f937654b0c9b898d5f2ad360c4adb,0,23,,0x38019cc77e8FEa376BFf152ba0516c89a2F37a62,0x38019cc77e8FEa376BFf152ba0516c89a2F37a62,1693942911455538563,,0xd2630c0ebf33ba83c82e8cd400a8e6345370238ca695ce58773b2d3e43de1b0a,0x64351fC9810aDAd17A690E4e1717Df5e7e085160,0x657d9ABA1DBb59e53f9F3eCAA878447dCfC96dCb,msETH,ynETHx,18,1.6939429114555387,1796.8084822910205,3043.690991820059
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800266,2025-06-28 03:32:11,ae696a1fb7ef64c3936044795b6260c669241e54aaf8d0d007f715e8d1d5bd6d,fed23f16777e6a24b40e46c94b3d854a7177523de3ef510a7c17783a8ca4cf7d,96,251,,0x47163AD3c13a280c1Da8F5A90BbEA9eEAc75E252,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,5588666280092334955147,,0x140fe48783fe88d2a52b31705577d917628caaf74ff79865b39d4c2aa6c2fd3c,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0x90D2af7d622ca3141efA4d8f1F24d86E5974Cc8F,USDe,eUSDe,18,5588.666280092335,0.9994122168584848,5585.381356269342
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800291,2025-06-28 03:37:11,89bde9f5240c41fb7ed806e6548dcf64943722ff35c996675b099ddbcb3f01f7,3bbd11f95bc397d60fe26b55ff4d6539df5afe72acf7a19e8ced129f593f32ee,96,260,,0x47163AD3c13a280c1Da8F5A90BbEA9eEAc75E252,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,1168880000000000000000,,0x140fe48783fe88d2a52b31705577d917628caaf74ff79865b39d4c2aa6c2fd3c,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0x90D2af7d622ca3141efA4d8f1F24d86E5974Cc8F,USDe,eUSDe,18,1168.88,0.9994122168584848,1168.1929520415458
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800627,2025-06-28 04:44:47,28daf10291eba86866c62b896c298902fca4ea7527b38c526dbbd20c7b42caa3,8a775e7d45fc356c9bedcc2a491669502c928a35579411dec1e6416fe6b28670,26,184,,0x7cB4b068E3294b0C365A8368B9798e5dB91ebEFE,0x7cB4b068E3294b0C365A8368B9798e5dB91ebEFE,120005000000000000000000,,0xddac4d5caa0b1923ef338d53e01876af69c5b68ebf8e268082c7d3e2be2e7f8e,0x73A15FeD60Bf67631dC6cd7Bc5B6e8da8190aCF5,0x1d08E7adC263CfC70b1BaBe6dC5Bb339c16Eec52,USD0,USD0USD0++,18,120005.0,0.9990388851713168,119889.66141498387
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800714,2025-06-28 05:02:23,21658dafdaf305592ecf0ebd7ba00d608e2041e65febccf8f305ce83c6ec6824,02650d64358ef1491787468bd6d8f7fcca30e7ec359a723c708ca5f19e283f8d,64,72,,0x37829FE9b8e67B8267C2058b9459f524b9E3ca5d,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,50000000000,,0xd9e34b1eed46d123ac1b69b224de1881dbc88798bc7b70f504920f62f58f28cc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x1202F5C7b4B9E47a1A484E8B270be34dbbC75055,USDC,wstUSR,6,50000.0,0.9997649620685616,49988.24810342808
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800760,2025-06-28 05:11:35,18ee5cd234ddf066da69934faa21dbc0944b653852132aac1ecfea51641fd3af,21fff7f911865a1a522f6745ec8022205f97739f9e9bf235da4d26dd20733f99,113,446,,0x84378AaeAfFE1557d520f5347613715ACEA4A729,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,50000000000000000000000,,0xa458018cf1a6e77ebbcc40ba5776ac7990e523b7cc5d0c1e740a4bbc13190d8f,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xFfEc096c087C13Cc268497B89A613cACE4DF9A48,DAI,PT-USDS-14AUG2025,18,50000.0,0.9998387039923518,49991.93519961759
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800775,2025-06-28 05:14:35,2568344f6105cd173ac2b8bf1f7ca953f831759bfedda39dee81b9268a863658,2c1ce244331db46c72f71b5f94070bffff58d1283417a7b0bd579df0ef4bb060,74,158,,0x755C29BB7FC850A0D26BED32BD625A775f611032,0x9Bc8Ff070cE2E74B9F45FD08eBA0BaE4A9938d7b,18731768880544000000000000,,0xa458018cf1a6e77ebbcc40ba5776ac7990e523b7cc5d0c1e740a4bbc13190d8f,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xFfEc096c087C13Cc268497B89A613cACE4DF9A48,DAI,PT-USDS-14AUG2025,18,18731768.880544,0.9998387039923518,18728747.521007378
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800818,2025-06-28 05:23:11,42e25264315847efbffb54c4ec05ce2eab025dd139c229b8b42cb1f9c48a92dd,412515823859a16576934ae1316d04b0a8385881553faf01d806cd17fdf98173,1,11,,0x506Fe7c6e57806797FC8dAa70b23E74635BeEcBc,0x506Fe7c6e57806797FC8dAa70b23E74635BeEcBc,2000000000,,0xa921ef34e2fc7a27ccc50ae7e4b154e16c9799d3387076c421423ef52ac4df99,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,USDT,WBTC,6,2000.0,0.9993557166771156,1998.7114333542313
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800871,2025-06-28 05:33:47,043e2ead1cbf74d496980da3c3b2322f19f0ed8fc6dd88eb83529c21aaf7f59f,087c732a094761c762027054c7efbf1ecafd624e512b629d0a6be89fedaac11f,71,198,,0x1C74b67F9C6dD986E4735B3e2b34BC1eaA828A20,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,500100000,,0x3a3b0aab54883f5b2561d8327fbe234142db4f50f87574cd07daf2ed3fbee01a,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5f2F6324AA5590e408BA892e39ceC4C0afB16068,USDC,PT-iUSD-4SEP2025,6,500.1,0.9997649620685616,499.9824575304877
