chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,on_behalf,caller,receiver,assets,shares,market_id,loan_token,collateral_token,loan_symbol,collateral_symbol,loan_decimals,normalized_assets
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000217,2025-01-13 17:36:21,85039cbb4aa733e02f760029849934629d49dd93f3da8d58dcb0ef067f935bb1,1ee5a42c76bd342665253edf04bbcfd806e5cae027a84c83be9168405a092aa9,48,84,,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,847462,807872752164,0xdba352d93a64b17c71104cbddc6aef85cd432322a1446b5b65163cbbc615cd0c,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,0.847462
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000224,2025-01-13 17:36:35,6c87b95cd6bfd1c43951c7f1cb19c48eadfd9f252cc985ef5a93907f9a30851a,1918f9ca332b4fb7d2b8389e77efaa1a003c71b28a44356dd38aa6192b84d445,172,894,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,488988814680,488988814680000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,488988.81468
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000224,2025-01-13 17:36:35,6c87b95cd6bfd1c43951c7f1cb19c48eadfd9f252cc985ef5a93907f9a30851a,1918f9ca332b4fb7d2b8389e77efaa1a003c71b28a44356dd38aa6192b84d445,172,906,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,522134406216,514316276534677093,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,522134.406216
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000300,2025-01-13 17:39:07,58d656331272feef510dd9c2bea2a9b34957c5eb43d99d49c357580ee9b4e3c4,9f3bd4a4911c8728e752489b6d3291e16961f06084631f9f20be597aafdf153f,213,768,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,486010677033,486010677033000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,486010.677033
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000300,2025-01-13 17:39:07,58d656331272feef510dd9c2bea2a9b34957c5eb43d99d49c357580ee9b4e3c4,9f3bd4a4911c8728e752489b6d3291e16961f06084631f9f20be597aafdf153f,213,780,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,470257628613,463216151588314558,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,470257.628613
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000308,2025-01-13 17:39:23,1184ea1f7c98f1e45ade1cbd1693dd7b6dac46f720c609f191bc2ba1a92f997c,dd56c893f338865abcefdbc83eda989281e7f8d0482e21efc89d16f99dc6757f,96,426,,0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,113075545,111382387401119,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,113.075545
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000363,2025-01-13 17:41:13,7b98dabf4e0f59448b4ea502567701d4e84387c635d0c6383c51ff8fdaaf685b,148e05daf116dc72795c25ae7369d1e9d9a21761f8caffe7e5cf93b9257bd68e,140,280,,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,160087674289255793,160087674289255793000000,0xe920c120b2e1c79e9f97c5219ab092f96e06ed0b58882737fe863b029395f36f,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000000,WETH,,18,0.1600876742892558
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000400,2025-01-13 17:42:27,a193220f383b41082e0bc275acd7e197b94d1fe3dc7bfd63420ca8f6e1bc5fc1,62258a8f17cca80286382534bd4f02a0e49021861c33837e484c7307a7f80e88,119,403,,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,502533,493759103649,0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,cbBTC,6,0.502533
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000423,2025-01-13 17:43:13,433a8be3ee1ba36b529deee3f56d456cc89bdc75806b1da1e0b48273c2c31d6d,8846a42636bb7eb1a1c52ee599f3aed292a14f59066ea5a6aed26d38716bb3b7,55,130,,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,35786303187,35786303187000000,0x38c846197ac32a752a60c25d4536ebb0c3920c532e9a859c38c91efb7b8c2abb,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000000,USDC,,6,35786.303187
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000423,2025-01-13 17:43:13,433a8be3ee1ba36b529deee3f56d456cc89bdc75806b1da1e0b48273c2c31d6d,8846a42636bb7eb1a1c52ee599f3aed292a14f59066ea5a6aed26d38716bb3b7,55,140,,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,31211707684,30666769549562230,0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,cbBTC,6,31211.707684
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000545,2025-01-13 17:47:17,0a9b757676ce7ec894682ab41d5f8f6720252e39fdf4b7fc366f0b677df69196,abced20b83a96f2ccbdd101148bb49151ffcab2ffb75751e8684ef4027e03f71,93,114,,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,100454811,100454811000000,0x38c846197ac32a752a60c25d4536ebb0c3920c532e9a859c38c91efb7b8c2abb,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000000,USDC,,6,100.454811
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000592,2025-01-13 17:48:51,87182e31fd3476e7d2c055bb2d267fe94f3315dbd093c13d2550bbbea4ac6f62,e652ab4f5499602f9eeb986c716245e152ef07685cdccf3c112594b279c9ec14,100,201,,0x6770216aC60F634483Ec073cBABC4011c94307Cb,0x6770216aC60F634483Ec073cBABC4011c94307Cb,0x6770216aC60F634483Ec073cBABC4011c94307Cb,575387402,575387402000000,0xe04a6c17bd59c9fcbc2bcf0035be0e78974f2741b15dc079635e2f0137d38f2c,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000000,cbBTC,,8,5.75387402
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000609,2025-01-13 17:49:25,d6eb0c0599f7d2b1d9887ef54ad2ba95c24a2694494b555595ec9b32b03fda7f,3a04f128d840dfd3ed5a6fd28c09bb6224139be2744ce98172b1e66838899d6a,63,125,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,50000000,50000000000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,50.0
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000702,2025-01-13 17:52:31,fa9098eba58732ba3cfb65d834dc099ce034d6a59e64fff3ad211c902f76ee03,6ad120eb2ecd885a5f8d63ad571b52e0fab4bed929ac1eed62aaf85114e0d64f,44,111,,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,80647545,80647545000000,0x38c846197ac32a752a60c25d4536ebb0c3920c532e9a859c38c91efb7b8c2abb,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000000,USDC,,6,80.647545
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000730,2025-01-13 17:53:27,133c8ca3f1982282ebcd3297ce16d89191332a9b1dcb25859675e69cc03e1041,531898daecaf4e03f525aafc104bc6f6a5796d6be27dca5d7b7b05a3d620951c,77,301,,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,9834302810726631,9834302810726631000000,0xe920c120b2e1c79e9f97c5219ab092f96e06ed0b58882737fe863b029395f36f,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000000,WETH,,18,0.009834302810726631
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000811,2025-01-13 17:56:09,106a80bf139d0fe98b172119e0aabaa833c041854f8407ee0fa0962d5f7d6351,d2362bfbe87d651580ff1ba7b91bc08e39400288fcbce26f859853fde04b19ac,54,170,,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,3002125729399745,3002125729399745000000,0xe920c120b2e1c79e9f97c5219ab092f96e06ed0b58882737fe863b029395f36f,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000000,WETH,,18,0.003002125729399745
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000814,2025-01-13 17:56:15,7556c9e0414c7ba7596bed1fc49bf737687ea687d3a77865f9caa96611c7b2bb,e60e1ab30eb25506a38a84671cebe6a0e1d23fdaeab55f1f5d83b863eedfeb35,60,283,,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,100500000,100500000000000,0x38c846197ac32a752a60c25d4536ebb0c3920c532e9a859c38c91efb7b8c2abb,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000000,USDC,,6,100.5
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000850,2025-01-13 17:57:27,ed7df82d63e27a20ac5f75f5ed6b390807061786a6b3152f8603cee458b9b0ea,2fe1b5daad727f0c5c00e1977b1c37465f7ddb95d67a7e7cf390b70ed6773146,103,1060,,0xA2Cac0023a4797b4729Db94783405189a4203AFc,0xA2Cac0023a4797b4729Db94783405189a4203AFc,0xA2Cac0023a4797b4729Db94783405189a4203AFc,11536933694825388,11536933694825388000000,0xe920c120b2e1c79e9f97c5219ab092f96e06ed0b58882737fe863b029395f36f,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000000,WETH,,18,0.011536933694825387
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000858,2025-01-13 17:57:43,346b19b9dc9d040f5d76af8743d023d15fa776d10b565a3f71eb7c29d7121ad0,a1124aa6e4f527e5896f0b9bb32ed6b695019a81ce2b10c93e5ab5d2dcf90796,221,282,,0xbb819D845b573B5D7C538F5b85057160cfb5f313,0xbb819D845b573B5D7C538F5b85057160cfb5f313,0xbb819D845b573B5D7C538F5b85057160cfb5f313,10104157216209729211,10018608552263388057713575,0xc9658cac13a9b9b5c1ebaa8ce19c735283cc761ff528d149a7221047bb7fab45,0xCfA3Ef56d303AE4fAabA0592388F19d7C3399FB4,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,eUSD,cbBTC,18,10.10415721620973
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000881,2025-01-13 17:58:29,f855c77c2cfdc4d24f1325b6ca949abc3340cb0912c7e027e86bee8297b79b3c,db5871a38a8244e5bf4d0dbd34c886569ef581ddba36f4d0dab2bbd95934bbd3,122,147,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,4054578673,3993858912570325,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,4054.578673
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000903,2025-01-13 17:59:13,e6ca67a3275d00cfbf516d8bff86c00565c099e140d3cb6194a0ad3d44de1995,794984844fd8ab2dd383527f831b2d9af3d1320e0028b6a701f7abab2446cb3e,115,299,,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,62146790887,62146790887000000,0x38c846197ac32a752a60c25d4536ebb0c3920c532e9a859c38c91efb7b8c2abb,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000000,USDC,,6,62146.790887
ethereum,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800004,2025-06-28 02:39:35,90a5a6f42873dfdb8de7835d82fe767fc54e7d2bd1f85c31a67627572c5e943b,d5c964cb9bfe1b2affd051eb98be465d4fda9bef3a4b29fc5994e101ae809c9c,100,183,,0x68Aea7b82Df6CcdF76235D46445Ed83f85F845A3,0x68Aea7b82Df6CcdF76235D46445Ed83f85F845A3,0x68Aea7b82Df6CcdF76235D46445Ed83f85F845A3,13295181455,13295181455000000,0x54efdee08e272e929034a8f26f7ca34b1ebe364b275391169b28c6d7db24dbc8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x0000000000000000000000000000000000000000,USDC,,6,13295.181455
ethereum,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800015,2025-06-28 02:41:47,fc6d6d3ee91de56be8882fdc3a1c53466fb2b27b76bbb68301dfcd4f45b02806,f94a1f2da5223359d0617a892feccd276b1bddd8931d1766904354dcbdb94555,97,183,,0x000001ac4e512d670c34feDf6c71cE2F49fb160a,0x000001ac4e512d670c34feDf6c71cE2F49fb160a,0x000001ac4e512d670c34feDf6c71cE2F49fb160a,150025991239,148145052256198294,0x3bdb58058b41bb700458ba3df317e254244ddec7fc35fec93d2d53475cc6ebdc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xCcE7D12f683c6dAe700154f0BAdf779C0bA1F89A,USDC,PT-syrupUSDC-28AUG2025,6,150025.991239
ethereum,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800041,2025-06-28 02:46:59,4219fddba910c2f4939c5d6c8f91cf0ea6a14250a11dcda32c20e4d21fa11b05,3703012711a48b33cc4f18e395c407927884c7a9854f4d54749d907eb41c9faa,61,241,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,102734,96265234178,0x718af3af39b183758849486340b69466e3e89b84b7884188323416621ee91cb7,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,USDC,UNI,6,0.102734
ethereum,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800041,2025-06-28 02:46:59,4219fddba910c2f4939c5d6c8f91cf0ea6a14250a11dcda32c20e4d21fa11b05,fb14d8ec91faf1599b8909a5e2f1bebdd55a774e8ec27b27e45193772238f9ca,134,389,,0x78Fc2c2eD1A4cDb5402365934aE5648aDAd094d0,0x78Fc2c2eD1A4cDb5402365934aE5648aDAd094d0,0x78Fc2c2eD1A4cDb5402365934aE5648aDAd094d0,100000000000000000000,97441200055985859499819937,0x5f8a138ba332398a9116910f4d5e5dcd9b207024c5290ce5bc87bc2dbd8e4a86,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE72B141DF173b999AE7c1aDcbF60Cc9833Ce56a8,WETH,ETH+,18,100.0
ethereum,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800044,2025-06-28 02:47:35,784f1849232453f11f6264d4f0f9cb1655cad62cf36c80a92d02232a79ed64df,378b9b717b6dcf08df431d593ef46249df10c07102a33672800c9665f9047c6c,23,115,,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,607415994832,600086924448346417,0xa3819a7d2aee958ca0e7404137d012b51ea47d051db69d94656956eff8c80c23,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xCcE7D12f683c6dAe700154f0BAdf779C0bA1F89A,USDC,PT-syrupUSDC-28AUG2025,6,607415.994832
