chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,repayer,caller,assets,shares,market_id,loan_token,collateral_token,loan_symbol,collateral_symbol,loan_decimals,normalized_assets,price_usd,amount_usd
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800295,2025-06-28 03:37:59,35b92103f2ac42a5a26ef19101df01d836852e6fd84a6edc3dc09f1b3828579d,3ec156ee11951253e9a185364963968457bffbe737fe07bccf6a373d3f3299d5,20,88,,0xBa135B26f42801181A72650203Cc77d5eEABbD0f,0xBa135B26f42801181A72650203Cc77d5eEABbD0f,11986399538563043576,11897431049108762178617344,0xef9f1e3e71483c9c9b61d2e27452e26507e52b547775ca899277b35585ef7b01,0xdC035D45d973E3EC169d2276DDab16f1e407384F,0x76e222b07C53D28b89b0bAc18602810Fc22B49A8,USDS,JOE,18,11.986399538563044,0.9996916167098236,11.982703133235972
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800302,2025-06-28 03:39:23,16f973483b8da27e45747be63ad8a1d9529c50dc149234f1ca39af4287d9c5ab,869f8e42e1793279bca04c5784d59978a3178a1faece7e8c9da93e69a90de859,100,179,,0x46Fb48C358D50241606772C3AcA8516F90cd0978,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,2786266221613382452036,2661326460784317667506466278,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUAL,USUALX,18,2786.2662216133826,0.0104004000787264,28.978283430620532
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800322,2025-06-28 03:43:23,ad22251a07dd8ab9e8d5420c9eea29da89a228cc4b064234444805efddd2c082,d4d513ad626ab3c06479b895108475f70fda773ee11d3a0bbadf413e392adb48,46,86,,0x46Fb48C358D50241606772C3AcA8516F90cd0978,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,3413276797445749047052,3260218583972834557589243795,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUAL,USUALX,18,3413.2767974457493,0.0104004000787264,35.49944427286976
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800330,2025-06-28 03:44:59,5b2eea0df94d65bd95acdd15ce4c77f78403131afb63f93c3ec38d6c2c1fa326,deb9c7f64e98b04ff7486ae881445948cbf24a65eb8f7dde47fedd46ebfddc30,73,194,,0x46Fb48C358D50241606772C3AcA8516F90cd0978,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,4182286908346050536240,3994743510142390856870054943,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUAL,USUALX,18,4182.286908346051,0.0104004000787264,43.497457090818656
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800340,2025-06-28 03:46:59,407c278fd0ce124e8fdef6ede9dbe078333df053ee6003921a5db6db9d435cd9,18be1234aef4bb3375ad76d7620bb965016a8c50376fa06a4c9cd1971e02ee6e,38,100,,0x46Fb48C358D50241606772C3AcA8516F90cd0978,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,5126105060963110347100,4896236808689698418816009661,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUAL,USUALX,18,5126.10506096311,0.0104004000787264,53.313543479600526
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800349,2025-06-28 03:48:47,0bc682a108739c32763eadb62d1d47654cdc5a981000c6f0c8ee1241888cf417,400c72dc8bdcba5c8b69a5158702a310caf898934bdebb894eb24d2aa4c6e316,107,177,,0x46Fb48C358D50241606772C3AcA8516F90cd0978,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,6283282896223532503826,6001521635392468506262515687,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUAL,USUALX,18,6283.282896223533,0.0104004000787264,65.34865592854347
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800359,2025-06-28 03:50:47,6c710e4bf0c8a1ab238249334611c4f99041cbd5e63a167ccd6d3f341793bd19,d1064a78193dd22a1cc44a96effaf81c7b5d18df43938ffeb2259aa5f3fd0082,35,86,,0x46Fb48C358D50241606772C3AcA8516F90cd0978,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,1112217161476438389376,1062341601065340060071388914,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUAL,USUALX,18,1112.2171614764384,0.0104004000787264,11.567503453780402
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800378,2025-06-28 03:54:35,6f7b42feb520df8fdbfcbebdb36961405b7bd5ad89348bb7ead44d7cb6f4a47b,c35cc368eac410db1d90c143d8a6eaca238455ca00becb8c6ed88893ce9089c5,98,203,,0xb2f5BEF1ca1E4aa211EE21C475FFfE3B59878911,0xb2f5BEF1ca1E4aa211EE21C475FFfE3B59878911,26229994576058968761,26035217470503897607962624,0xef9f1e3e71483c9c9b61d2e27452e26507e52b547775ca899277b35585ef7b01,0xdC035D45d973E3EC169d2276DDab16f1e407384F,0x76e222b07C53D28b89b0bAc18602810Fc22B49A8,USDS,JOE,18,26.229994576058967,0.9996916167098236,26.221905684030293
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800450,2025-06-28 04:09:11,65ee8a4ad386930d7addbb5e237f4d571d14929983b41703f69496bf6d3cd4c4,bd83a0ac0fa52dfaea965fe93559572ab16c7193669f870cc2a9db6665782053,68,168,,0xF276d10B388E00B8A04b1362f66c6E2aad8a1960,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,22200000000000000000,21539669305769947919029452,0x2287407f0f42ad5ad224f70e4d9da37f02770f79959df703d6cfee8afc548e0d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7122985656e38BDC0302Db86685bb972b145bD3C,WETH,STONE,18,22.2,1790.8610979237435,39757.116373907105
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800577,2025-06-28 04:34:47,3c012dc8c87ff2b04a95ad2601ebc800a8b3b6823c3bf9511058a595392bff7b,8a3e0a0775241f21731065ba5a416af437f62399211c020c1041bf97489d026e,50,198,,0x7cB4b068E3294b0C365A8368B9798e5dB91ebEFE,0xE43f309a3737Af46038a8E4A76dD954292A4C4D3,5000000,4747898693113,0xa59b6c3c6d1df322195bfb48ddcdcca1a4c0890540e8ee75815765096c1e8971,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x1d08E7adC263CfC70b1BaBe6dC5Bb339c16Eec52,USDC,USD0USD0++,6,5.0,0.9997649620685616,4.998824810342808
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800582,2025-06-28 04:35:47,8a03c0686dc0f95ad456a6350ded9d9a075db38aee2e4d60e0e093c832e1726f,24674e152bc970d95aea6a3acb841e361f9fd88f1e441620fb7480ed6779a38e,138,280,,0x7cB4b068E3294b0C365A8368B9798e5dB91ebEFE,0xE43f309a3737Af46038a8E4A76dD954292A4C4D3,120000000000,113949552055775994,0xa59b6c3c6d1df322195bfb48ddcdcca1a4c0890540e8ee75815765096c1e8971,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x1d08E7adC263CfC70b1BaBe6dC5Bb339c16Eec52,USDC,USD0USD0++,6,120000.0,0.9997649620685616,119971.79544822739
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800699,2025-06-28 04:59:23,03d367c070f3543e4df3c57de2ad92adb06fbe43be02ead4c410c45c89e8c7b2,41e2bfd888ed6b3cf3aebed75f65962504602909afe4d802da064620c7a22a0f,26,57,,0xe6418966dF78A231336adE1e639914196ebF81dD,0xe6418966dF78A231336adE1e639914196ebF81dD,12089443405466913908267,11900553579164775912733788780,0x760b14c9003f08ac4bf0cfb02596ee4d6f0548a4fde5826bfd56befb9ed62ae9,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x917459337CaAC939D41d7493B3999f571D20D667,DAI,PT-USDe-31JUL2025,18,12089.443405466915,0.9998387039923518,12087.493426510924
